cate_1_name,cate_2_name,cate_3_name,city_name,comment_cnt,location_id,per_pay,score,shop_id,shop_level,sales,views
美食,休闲茶饮,饮品/甜点,湖州,12.0,885,8,4.0,1,2,92689,5184
超市便利店,超市,,哈尔滨,,64,19,,2,1,39110,5984
美食,休闲茶饮,奶茶,南昌,2.0,774,5,3.0,3,0,10469,601
超市便利店,超市,,天津,,380,18,,4,1,13606,4502
美食,休闲食品,生鲜水果,杭州,2.0,263,2,2.0,5,0,31455,383
美食,烘焙糕点,面包,大连,1.0,1139,13,3.0,6,0,16896,1020
美食,快餐,西式快餐,绍兴,9.0,145,13,3.0,7,2,69938,4378
美食,休闲食品,生鲜水果,杭州,1.0,234,16,3.0,8,0,7510,1003
超市便利店,超市,,杭州,0.0,1120,15,4.0,9,1,67018,2117
超市便利店,超市,,孝感,,98,10,,10,0,5583,138
美食,小吃,其它小吃,上海,1.0,134,12,3.0,11,0,23199,338
美食,中餐,东北菜,宁波,2.0,786,20,1.0,12,0,17985,2642
美食,快餐,中式快餐,杭州,2.0,286,6,0.0,13,0,33457,405
美食,快餐,中式快餐,深圳,4.0,862,7,1.0,14,2,30342,4835
超市便利店,超市,,西安,,101,19,,15,0,12692,877
美食,小吃,其它小吃,武汉,3.0,510,17,3.0,16,2,32636,2673
美食,快餐,西式快餐,厦门,7.0,707,15,2.0,17,2,36759,5659
美食,火锅,麻辣烫/串串香,福州,1.0,260,7,4.0,18,0,5716,495
美食,休闲茶饮,饮品/甜点,上海,5.0,701,11,3.0,19,2,59173,1593
美食,汤/粥/煲/砂锅/炖菜,粥,广州,3.0,251,5,2.0,20,0,21258,1085
美食,烘焙糕点,蛋糕,上海,1.0,860,9,3.0,21,0,24440,708
美食,烘焙糕点,面包,重庆,3.0,777,6,2.0,22,2,31008,2739
超市便利店,便利店,,青岛,0.0,645,3,3.0,23,1,39248,233
美食,其他美食,西餐,温州,2.0,1058,12,2.0,24,1,18477,3392
美食,快餐,西式快餐,昆明,9.0,354,14,3.0,25,2,45869,3938
美食,快餐,中式快餐,厦门,3.0,620,12,1.0,26,1,22923,1396
美食,快餐,中式快餐,济南,2.0,109,2,3.0,27,1,24979,677
美食,快餐,西式快餐,泉州,4.0,975,14,2.0,28,2,25638,5077
美食,小吃,米粉/米线,广州,2.0,552,6,1.0,29,0,23165,387
美食,快餐,西式快餐,中山,2.0,498,7,2.0,30,2,13705,13438
超市便利店,超市,,北京,,571,18,,31,1,42360,1048
超市便利店,便利店,,杭州,0.0,789,2,4.0,32,1,105249,443
超市便利店,超市,,成都,,1159,20,,33,1,5664,1708
美食,休闲茶饮,奶茶,南京,10.0,680,4,3.0,34,0,85469,1519
超市便利店,超市,,东莞,0.0,296,18,2.0,35,0,60852,4534
超市便利店,超市,,中山,0.0,795,17,4.0,36,0,19639,2269
美食,快餐,西式快餐,上海,4.0,639,9,3.0,37,2,56483,5550
超市便利店,便利店,,广州,0.0,36,2,3.0,38,0,22958,474
美食,休闲食品,生鲜水果,上海,6.0,205,9,2.0,39,0,60826,3180
超市便利店,超市,,湖州,,1125,18,,40,0,12412,192
美食,快餐,西式快餐,上海,9.0,1054,10,3.0,41,2,69627,11403
美食,休闲茶饮,奶茶,武汉,2.0,198,1,3.0,42,0,11987,343
美食,快餐,西式快餐,上饶,3.0,102,15,2.0,43,2,20172,3778
美食,火锅,川味/重庆火锅,郑州,5.0,1088,20,4.0,44,2,12444,37001
美食,中餐,川菜,宁波,0.0,436,16,1.0,45,0,4727,230
超市便利店,超市,,南京,0.0,575,10,0.0,46,1,43971,589
超市便利店,便利店,,北京,,322,6,,47,1,12425,46
超市便利店,超市,,绍兴,,516,18,,48,0,42566,879
超市便利店,超市,,南通,0.0,253,19,3.0,49,1,133772,6504
美食,烘焙糕点,面包,上海,0.0,93,14,3.0,50,2,6650,1817
美食,快餐,中式快餐,北京,3.0,659,12,2.0,51,2,24603,2549
美食,休闲茶饮,奶茶,绍兴,2.0,192,7,3.0,52,0,17307,1003
超市便利店,便利店,,杭州,,264,2,,53,1,20321,216
超市便利店,超市,,武汉,0.0,423,9,0.0,54,1,80266,1990
美食,快餐,西式快餐,上海,8.0,357,10,3.0,55,2,77881,4934
美食,快餐,西式快餐,成都,6.0,55,14,3.0,56,2,28368,2240
美食,快餐,西式快餐,上海,8.0,229,14,2.0,57,2,73638,3829
超市便利店,超市,,杭州,2.0,1093,19,3.0,58,1,476209,16239
超市便利店,便利店,,上海,,229,4,,59,1,22515,205
美食,烘焙糕点,面包,成都,5.0,730,8,3.0,60,2,36691,1939
美食,小吃,面点,厦门,1.0,203,4,3.0,61,0,10795,299
美食,快餐,西式快餐,盐城,7.0,872,15,3.0,62,2,43538,5362
超市便利店,超市,,温州,,158,17,,63,0,35508,1092
美食,休闲茶饮,冰激凌,成都,6.0,197,1,4.0,64,0,26138,927
超市便利店,超市,,上海,,731,20,,65,1,121430,7804
超市便利店,便利店,,宁波,0.0,58,2,1.0,66,1,18632,179
美食,小吃,面点,南京,2.0,297,7,1.0,67,0,21066,1423
超市便利店,便利店,,广州,,490,3,,68,1,5825,445
休闲娱乐,网吧网咖,,南京,1.0,422,14,3.0,69,0,16722,1407
美食,烘焙糕点,蛋糕,北京,2.0,667,15,4.0,70,2,6999,1839
美食,烘焙糕点,面包,北京,2.0,761,9,3.0,71,1,24778,1533
超市便利店,超市,,广州,0.0,552,17,4.0,72,1,129555,2097
超市便利店,超市,,苏州,,780,16,,73,0,8032,1532
美食,快餐,其它快餐,上海,1.0,898,12,1.0,74,0,26672,237
美食,休闲茶饮,奶茶,济南,1.0,1104,1,4.0,75,0,4911,439
美食,烘焙糕点,面包,厦门,1.0,687,19,3.0,76,0,15711,813
美食,休闲茶饮,咖啡厅,宁波,2.0,429,17,1.0,77,0,15750,817
美食,快餐,中式快餐,上海,1.0,699,8,1.0,78,0,9053,423
美食,快餐,中式快餐,上海,3.0,1033,15,2.0,79,1,40554,968
超市便利店,超市,,金华,,874,17,,80,0,8896,727
美食,休闲食品,生鲜水果,上海,0.0,943,3,3.0,81,0,26133,247
美食,中餐,粤菜,广州,4.0,47,6,1.0,82,1,35604,1404
美食,快餐,西式快餐,无锡,5.0,180,12,3.0,83,1,41462,6671
美食,烘焙糕点,面包,上海,3.0,697,11,3.0,84,0,43108,2052
美食,快餐,西式快餐,苏州,5.0,138,12,3.0,85,2,38779,3665
超市便利店,超市,,成都,0.0,910,19,3.0,86,1,41649,2335
美食,快餐,中式快餐,福州,1.0,122,5,2.0,87,0,30585,911
美食,快餐,西式快餐,温州,13.0,665,13,3.0,88,2,163534,10985
超市便利店,超市,,重庆,0.0,754,17,4.0,89,1,18581,3882
美食,烘焙糕点,面包,上海,6.0,507,15,3.0,90,2,77091,2092
超市便利店,超市,,福州,,930,18,,91,0,11815,475
超市便利店,超市,,成都,0.0,818,19,4.0,92,1,49832,4945
美食,快餐,中式快餐,深圳,1.0,813,5,0.0,93,0,15247,514
美食,烘焙糕点,其它烘焙糕点,深圳,1.0,79,10,3.0,94,0,13143,403
美食,小吃,面点,济南,1.0,682,4,3.0,95,0,10714,1171
美食,小吃,面点,武汉,2.0,65,1,3.0,96,0,14073,632
美食,休闲食品,生鲜水果,廊坊,0.0,240,4,3.0,97,0,13144,525
美食,快餐,中式快餐,广州,1.0,587,12,1.0,98,1,11466,879
美食,休闲食品,生鲜水果,沈阳,1.0,692,5,4.0,99,0,19188,654
美食,快餐,西式快餐,南京,13.0,215,8,3.0,100,2,97368,8040
美食,烧烤,中式烧烤,温州,3.0,585,5,3.0,101,0,26686,2049
超市便利店,超市,,杭州,,914,13,,102,0,12211,439
美食,小吃,其它小吃,北京,1.0,977,4,1.0,103,0,10366,142
美食,快餐,西式快餐,福州,5.0,939,13,2.0,104,2,35598,2765
美食,快餐,西式快餐,苏州,7.0,15,14,3.0,105,2,49665,3820
超市便利店,便利店,,广州,0.0,309,2,4.0,106,0,18975,379
美食,休闲茶饮,奶茶,杭州,3.0,1093,7,3.0,107,0,39238,358
美食,快餐,西式快餐,上海,3.0,1010,8,2.0,108,2,32730,2784
超市便利店,便利店,,金华,,622,11,,109,0,13457,143
超市便利店,便利店,,北京,,982,7,,110,1,23836,81
美食,休闲茶饮,饮品/甜点,北京,3.0,430,9,3.0,111,2,26660,1336
超市便利店,超市,,珠海,0.0,204,18,3.0,112,1,38026,1389
超市便利店,超市,,厦门,,1107,1,,113,0,13354,77
美食,快餐,西式快餐,上海,15.0,134,9,3.0,114,2,170423,12151
美食,快餐,中式快餐,杭州,6.0,89,6,2.0,115,0,52854,1254
超市便利店,超市,,杭州,,386,2,,116,0,23558,143
美食,中餐,江浙菜,杭州,3.0,523,20,0.0,117,2,27547,9349
美食,快餐,中式快餐,北京,0.0,652,8,2.0,118,0,10652,130
美食,快餐,西式快餐,保定,2.0,1087,10,3.0,119,2,16889,6040
超市便利店,超市,,杭州,,1111,14,,120,0,26407,323
美食,快餐,中式快餐,上海,3.0,406,8,3.0,121,2,25530,4434
美食,快餐,其它快餐,上海,1.0,572,16,3.0,122,0,12106,496
美食,休闲食品,生鲜水果,北京,3.0,114,10,2.0,123,0,31368,582
超市便利店,超市,,杭州,0.0,1094,17,3.0,124,1,121802,3290
美食,快餐,西式快餐,大连,3.0,877,11,4.0,125,2,18027,2362
美食,小吃,其它小吃,成都,0.0,112,5,3.0,126,0,9067,566
美食,快餐,西式快餐,武汉,3.0,317,13,1.0,127,1,17755,1519
美食,其他美食,西餐,温州,1.0,665,20,2.0,128,2,15767,5553
超市便利店,超市,,宁波,0.0,46,20,4.0,129,1,73648,5746
超市便利店,超市,,南京,0.0,130,18,4.0,130,1,83889,3608
美食,休闲食品,生鲜水果,武汉,3.0,917,15,4.0,131,0,26427,578
美食,快餐,西式快餐,柳州,2.0,768,13,3.0,132,0,10543,3385
美食,快餐,中式快餐,广州,2.0,494,10,2.0,133,0,16699,1300
美食,小吃,其它小吃,宁波,1.0,764,1,3.0,134,0,34363,895
美食,休闲茶饮,奶茶,上海,4.0,828,7,4.0,135,0,24223,863
美食,烘焙糕点,面包,武汉,3.0,510,10,3.0,136,2,26877,2160
美食,烘焙糕点,面包,宁波,1.0,436,15,3.0,137,0,15878,1250
美食,小吃,面点,上海,4.0,642,16,1.0,138,0,58117,3094
美食,快餐,西式快餐,上海,4.0,244,12,3.0,139,1,29593,4193
超市便利店,便利店,,北京,,1043,5,,140,1,43867,98
超市便利店,超市,,北京,,658,17,,141,0,9330,741
超市便利店,便利店,,杭州,,789,2,,142,1,51236,622
美食,快餐,中式快餐,北京,2.0,476,3,2.0,143,0,14211,1226
美食,休闲茶饮,奶茶,上海,2.0,1054,5,4.0,144,0,13573,226
美食,快餐,西式快餐,台州,5.0,988,15,2.0,145,2,37371,3090
超市便利店,超市,,福州,,1075,19,,146,1,158867,4930
超市便利店,便利店,,广州,0.0,552,3,2.0,147,1,35882,529
超市便利店,便利店,,武汉,,737,5,,148,0,6122,88
美食,小吃,其它小吃,厦门,4.0,955,3,2.0,149,0,21893,3087
美食,休闲茶饮,饮品/甜点,厦门,2.0,1080,12,4.0,150,0,8158,394
美食,快餐,西式快餐,上海,3.0,809,9,2.0,151,1,33047,1208
美食,休闲食品,零食,武汉,1.0,557,16,3.0,152,2,11918,1817
超市便利店,超市,,黄冈,,515,17,,153,1,21305,2476
美食,休闲食品,零食,福州,0.0,330,1,1.0,154,0,18951,227
美食,快餐,西式快餐,江门,7.0,635,7,3.0,155,2,35176,14115
超市便利店,超市,,惠州,,334,18,,156,0,15931,1004
美食,快餐,西式快餐,北京,7.0,1154,14,3.0,157,2,33832,3040
美食,休闲食品,生鲜水果,温州,2.0,840,8,3.0,158,0,25475,404
美食,快餐,西式快餐,金华,6.0,595,15,3.0,159,2,36488,4550
