cate_1_name,cate_2_name,cate_3_name,city_name,comment_cnt,location_id,per_pay,score,shop_id,shop_level
美食,休闲茶饮,饮品/甜点,湖州,12,885,8,4,1,2
超市便利店,超市,,哈尔滨,NaN,64,19,NaN,2,1
美食,休闲茶饮,奶茶,南昌,2,774,5,3,3,0
超市便利店,超市,,天津,NaN,380,18,NaN,4,1
美食,休闲食品,生鲜水果,杭州,2,263,2,2,5,0
美食,烘焙糕点,面包,大连,1,1139,13,3,6,0
美食,快餐,西式快餐,绍兴,9,145,13,3,7,2
美食,休闲食品,生鲜水果,杭州,1,234,16,3,8,0
超市便利店,超市,,杭州,0,1120,15,4,9,1
超市便利店,超市,,孝感,NaN,98,10,NaN,10,0
美食,小吃,其它小吃,上海,1,134,12,3,11,0
美食,中餐,东北菜,宁波,2,786,20,1,12,0
美食,快餐,中式快餐,杭州,2,286,6,0,13,0
美食,快餐,中式快餐,深圳,4,862,7,1,14,2
超市便利店,超市,,西安,NaN,101,19,NaN,15,0
美食,小吃,其它小吃,武汉,3,510,17,3,16,2
美食,快餐,西式快餐,厦门,7,707,15,2,17,2
美食,火锅,麻辣烫/串串香,福州,1,260,7,4,18,0
美食,休闲茶饮,饮品/甜点,上海,5,701,11,3,19,2
美食,汤/粥/煲/砂锅/炖菜,粥,广州,3,251,5,2,20,0
美食,烘焙糕点,蛋糕,上海,1,860,9,3,21,0
美食,烘焙糕点,面包,重庆,3,777,6,2,22,2
超市便利店,便利店,,青岛,0,645,3,3,23,1
美食,其他美食,西餐,温州,2,1058,12,2,24,1
美食,快餐,西式快餐,昆明,9,354,14,3,25,2
美食,快餐,中式快餐,厦门,3,620,12,1,26,1
美食,快餐,中式快餐,济南,2,109,2,3,27,1
美食,快餐,西式快餐,泉州,4,975,14,2,28,2
美食,小吃,米粉/米线,广州,2,552,6,1,29,0
美食,快餐,西式快餐,中山,2,498,7,2,30,2
超市便利店,超市,,北京,NaN,571,18,NaN,31,1
超市便利店,便利店,,杭州,0,789,2,4,32,1
超市便利店,超市,,成都,NaN,1159,20,NaN,33,1
美食,休闲茶饮,奶茶,南京,10,680,4,3,34,0
超市便利店,超市,,东莞,0,296,18,2,35,0
超市便利店,超市,,中山,0,795,17,4,36,0
